reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
21,1,100,550,NA,20190514,transect,boat,NA,NA,transect tape,EM,"(e.g., field conditions; tide; etc.)"
21,2,105,650,NA,20190514,transect,boat,NA,NA,transect tape,EM,"(e.g., field conditions; tide; etc.)"
21,3,110,800,NA,20190514,transect,boat,NA,NA,transect tape,EM,"(e.g., field conditions; tide; etc.)"
21,4,115,1200,NA,20190514,transect,boat,NA,NA,transect tape,EM,"(e.g., field conditions; tide; etc.)"
21,1,95,620,NA,20190514,GPS,boat,NA,NA,floating GPS,EM,"(e.g., field conditions; tide; etc.)"
21,2,110,630,NA,20190514,GPS,boat,NA,NA,floating GPS,EM,"(e.g., field conditions; tide; etc.)"
21,3,115,900,NA,20190514,GPS,boat,NA,NA,floating GPS,EM,"(e.g., field conditions; tide; etc.)"
21,4,120,1100,NA,20190514,GPS,boat,NA,NA,floating GPS,EM,"(e.g., field conditions; tide; etc.)"
21,1,106,802,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
21,2,106,775,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
21,3,110,759,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
21,4,104,757,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
21,1,95.5,686,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
21,2,99.5,757,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
21,3,102,792,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
21,4,102,791,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
21,1,94.6,663,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
21,2,97.2,717,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
21,3,93.9,676,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
21,4,90.4,621,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
21,1,109,901,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",EM,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,2,107,881,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",EM,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,3,108,894,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",EM,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,4,108,904,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",EM,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,1,101.5,796.6,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
21,2,106.6,730.2,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
21,3,103.8,704,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
21,4,109.2,802.5,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
21,1,123.3,1010,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
21,2,114.7,931,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
21,3,106.6,927,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
21,4,124.8,762,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
21,1,146.8,1170,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
21,2,147.6,1040,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
21,3,133.3,1160,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
21,4,121.9,1230,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
21,1,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,can't see reef b/c ~ = pixel size
21,2,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,can't see reef b/c ~ = pixel size
21,3,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,can't see reef b/c ~ = pixel size
21,4,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,can't see reef b/c ~ = pixel size
